first_name,middle_name,last_name,sex,dob,email,ohio_ssid,grade_level
Ralph,Chandler,Garcia,M,2010-01-10,rcgarcia28@titanacademy.edu,WJ8394215,6
Jaron,Steve,Moore,M,2010-01-17,jsmoore28@titanacademy.edu,AD0886723,6
Lila,Rebecca,Martinez,F,2010-07-25,lrmartinez28@titanacademy.edu,OX6574249,6
Marcus,Cullen,Munoz,M,2009-09-02,mcmunoz28@titanacademy.edu,LO8154080,6
Isaias,Yael,Bauer,M,2010-05-18,iybauer28@titanacademy.edu,YL7380013,6
Orlando,Guillermo,Lam,M,2010-03-29,oglam28@titanacademy.edu,GO8169460,6
Marlene,Kendall,Jones,F,2010-01-18,mkjones28@titanacademy.edu,HU7064198,6
Mateo,Messiah,Hall,M,2010-01-01,mmhall28@titanacademy.edu,AO4822693,6
Jaydin,Abram,Lewis,M,2010-02-27,jalewis28@titanacademy.edu,ZY8826659,6
Ari,Deegan,Wilson,M,2010-03-21,adwilson28@titanacademy.edu,IC8677725,6
Savanah,Kadence,Knox,F,2010-04-15,skknox28@titanacademy.edu,XU6479910,6
Hamza,Anders,Combs,M,2010-06-06,hacombs28@titanacademy.edu,GG9326864,6
Pranav,Austin,Gilbert,M,2010-07-01,pagilbert28@titanacademy.edu,PP4112350,6
Benson,Jerry,Long,M,2009-09-01,bjlong28@titanacademy.edu,AW1402006,6
Chaim,Ronald,Moore,M,2010-03-26,crmoore28@titanacademy.edu,GB4533327,6
Chaim,Angelo,Wright,M,2010-05-09,cawright28@titanacademy.edu,GO8742766,6
Ulises,Lucian,Schwartz,M,2010-04-28,ulschwartz28@titanacademy.edu,TA9763337,6
Dayana,Catherine,Bowen,F,2010-04-22,dcbowen28@titanacademy.edu,IM2574845,6
Cora,Kaylin,Silva,F,2010-05-11,cksilva28@titanacademy.edu,AL3281217,6
Davion,Deacon,Gomez,M,2010-05-12,ddgomez28@titanacademy.edu,UV3583355,6
Slade,Franklin,Shepherd,M,2010-04-25,sfshepherd28@titanacademy.edu,BZ2448898,6
Janessa,Kaylen,Brown,F,2009-12-23,jkbrown28@titanacademy.edu,PC2127574,6
Morgan,Hassan,Wang,M,2009-09-29,mhwang28@titanacademy.edu,NO8234115,6
