first_name,middle_name,last_name,sex,dob,email,ohio_ssid,grade_level
Asher,Tripp,Whitehead,M,2012-06-07,atwhitehead29@titanacademy.edu,PV8587074,6
Leonard,Haiden,Roy,M,2012-02-01,lhroy29@titanacademy.edu,NF3821427,6
Esmeralda,Alanna,Boyd,F,2011-10-17,eaboyd29@titanacademy.edu,FU8791687,6
Aarav,Kendall,Houston,M,2012-04-01,akhouston29@titanacademy.edu,QQ4284337,6
Dulce,Moriah,Walker,F,2012-03-18,dmwalker29@titanacademy.edu,VM6793411,6
Quentin,Jaxton,Oneal,M,2011-08-17,qjoneal29@titanacademy.edu,AZ5967902,6
Maria,Bria,Marquez,F,2012-01-27,mbmarquez29@titanacademy.edu,HV5125556,6
Jace,Saul,Sullivan,M,2011-08-11,jssullivan29@titanacademy.edu,GJ9087304,6
Parker,Leilani,Perry,F,2011-12-13,plperry29@titanacademy.edu,TT1671888,6
Everett,Zayden,Delgado,M,2012-01-28,ezdelgado29@titanacademy.edu,GN0209674,6
Alyvia,Adyson,Stanley,F,2012-02-26,aastanley29@titanacademy.edu,VT9018458,6
Kobe,Amare,Roth,M,2012-07-23,karoth29@titanacademy.edu,YG1410734,6
Helen,Nathaly,Moore,F,2012-04-21,hnmoore29@titanacademy.edu,PB4269042,6
Ulises,Julius,Wade,M,2011-12-29,ujwade29@titanacademy.edu,SX3607393,6
Damien,Davion,Adams,M,2011-11-28,ddadams29@titanacademy.edu,GJ8818813,6
Duncan,Kole,Rowe,M,2011-09-25,dkrowe29@titanacademy.edu,QY9462822,6
Lucy,Kayden,Mendoza,F,2012-05-18,lkmendoza29@titanacademy.edu,DZ0651138,6
Malaya,Dania,Moore,F,2012-05-30,mdmoore29@titanacademy.edu,KY2774654,6
Kenley,Tori,Page,F,2012-01-15,ktpage29@titanacademy.edu,NS1360898,6
Irene,Haven,Romero,F,2012-02-21,ihromero29@titanacademy.edu,PY9048103,6
Derrick,Finn,Williams,M,2011-11-05,dfwilliams29@titanacademy.edu,CH5852523,6
Steven,Isaac,Morris,M,2012-06-01,simorris29@titanacademy.edu,QG5470762,6
Joziah,Jessie,Henderson,M,2011-10-28,jjhenderson29@titanacademy.edu,AF8303851,6
Jamarion,Theodore,Robinson,M,2011-09-07,jtrobinson29@titanacademy.edu,QT4313998,6
Enzo,Orion,Whitehead,M,2011-09-23,eowhitehead29@titanacademy.edu,WJ5557708,6
Devon,Tucker,Rodriguez,M,2012-03-01,dtrodriguez29@titanacademy.edu,RP3036836,6
Macey,Paisley,Doyle,F,2012-01-23,mpdoyle29@titanacademy.edu,RG7994998,6
Karen,Natalie,Johnston,F,2012-05-26,knjohnston29@titanacademy.edu,DA5990441,6
Kaliyah,Kyleigh,Porter,F,2011-11-08,kkporter29@titanacademy.edu,IL5254937,6
Warren,Callum,Perry,M,2011-09-03,wcperry29@titanacademy.edu,SC2492545,6
Sterling,Bruce,Smith,M,2012-01-31,sbsmith29@titanacademy.edu,VA4747056,6
Annie,Ariah,Luna,F,2011-09-30,aaluna29@titanacademy.edu,XZ8578659,6
Jacqueline,Elianna,Fuller,F,2012-06-01,jefuller29@titanacademy.edu,QZ0568366,6
Chace,Nathan,Arnold,M,2012-04-20,cnarnold29@titanacademy.edu,YH9068482,6
Analia,Mia,Anderson,F,2012-06-28,amanderson29@titanacademy.edu,LM8364209,6
Brylee,Patience,Schultz,F,2012-01-30,bpschultz29@titanacademy.edu,WU1499706,6
Briley,Aryana,Garza,F,2011-10-05,bagarza29@titanacademy.edu,GF2127894,6
Alex,Damian,Hughes,M,2012-04-30,adhughes29@titanacademy.edu,ZJ7733916,6
Andy,Omar,Scott,M,2011-08-25,aoscott29@titanacademy.edu,XC4082995,6
Maeve,Alma,Dominguez,F,2012-02-21,madominguez29@titanacademy.edu,TR8031807,6
Danika,Nathalia,Dixon,F,2012-04-14,dndixon29@titanacademy.edu,IU5310290,6
Ryder,Case,Gonzalez,M,2012-05-03,rcgonzalez29@titanacademy.edu,KK4703829,6
Emely,Madyson,Vega,F,2012-07-26,emvega29@titanacademy.edu,WO5420440,6
Johnathon,Pedro,Ellis,M,2012-02-10,jpellis29@titanacademy.edu,ZL5427607,6
Kade,Philip,Lopez,M,2012-07-05,kplopez29@titanacademy.edu,JL0806691,6
Reese,Lydia,Smith,F,2011-09-22,rlsmith29@titanacademy.edu,QV4803640,6
Hayleigh,Araceli,Weber,F,2011-12-02,haweber29@titanacademy.edu,EX1943534,6
Jocelyn,Jayleen,Long,F,2011-11-12,jjlong29@titanacademy.edu,SH3320053,6
Kasen,Maximus,Wilson,M,2012-02-11,kmwilson29@titanacademy.edu,KF6517827,6
Arnav,Caden,Williams,M,2012-04-24,acwilliams29@titanacademy.edu,AS5407963,6
Elyse,Khloe,Curtis,F,2012-02-19,ekcurtis29@titanacademy.edu,NX5942178,6
Braelyn,Cheyanne,Bauer,F,2011-12-15,bcbauer29@titanacademy.edu,IQ2009772,6
Randall,Alec,Campbell,M,2012-05-05,racampbell29@titanacademy.edu,TK9238933,6
Anabelle,Madeleine,Walker,F,2012-04-11,amwalker29@titanacademy.edu,WA7490792,6
Lewis,Jerome,Hayes,M,2011-12-28,ljhayes29@titanacademy.edu,DR7098826,6
Leroy,Rogelio,Wilson,M,2012-03-11,lrwilson29@titanacademy.edu,PC4796276,6
Leroy,Alfredo,Wilson,M,2012-03-20,lawilson29@titanacademy.edu,GP7540260,6
Lydia,Natalee,Ford,F,2012-03-07,lnford29@titanacademy.edu,QP3882527,6
Layne,Gael,Mcguire,M,2012-01-18,lgmcguire29@titanacademy.edu,ZD6517732,6
Marlene,Belinda,Gross,F,2011-10-16,mbgross29@titanacademy.edu,KD3387571,6
Madelyn,Hailee,Schaefer,F,2012-06-19,mhschaefer29@titanacademy.edu,VM2470930,6
Aron,Jeremy,Lester,M,2012-01-09,ajlester29@titanacademy.edu,YK3657950,6
Kadence,Myra,Vang,F,2011-12-31,kmvang29@titanacademy.edu,HM6993546,6
Adam,Jairo,Wright,M,2011-10-28,ajwright29@titanacademy.edu,ZA7395115,6
Carina,Kaydence,Ochoa,F,2011-08-26,ckochoa29@titanacademy.edu,IZ6820261,6
Karly,Yareli,Cox,F,2012-04-24,kycox29@titanacademy.edu,JU0909442,6
Nathalie,Julie,Potts,F,2011-11-13,njpotts29@titanacademy.edu,LF1839257,6
Reina,Kaitlin,Sims,F,2011-08-22,rksims29@titanacademy.edu,GL6996136,6
Quentin,Payton,Brown,M,2012-03-04,qpbrown29@titanacademy.edu,VO1947552,6
Arthur,Alden,Kelley,M,2012-02-26,aakelley29@titanacademy.edu,UY8402890,6
Madeleine,Saniya,Herrera,F,2011-08-26,msherrera29@titanacademy.edu,KA8248319,6
Cheyenne,Mariyah,Brown,F,2011-09-30,cmbrown29@titanacademy.edu,LG8251416,6
Frances,Kelsie,Herman,F,2011-09-26,fkherman29@titanacademy.edu,PD9622193,6
Kendra,Natalia,Smith,F,2012-04-16,knsmith29@titanacademy.edu,HW7083227,6
Kamryn,Rayden,Jones,M,2011-08-05,krjones29@titanacademy.edu,TT7064356,6
Clare,Yaretzi,Clark,F,2011-10-29,cyclark29@titanacademy.edu,CX4450681,6
Ben,Jay,Wells,M,2012-05-01,bjwells29@titanacademy.edu,JG9464773,6
Keyon,Dawson,Thomas,M,2011-10-05,kdthomas29@titanacademy.edu,DH5108568,6
Legend,Alijah,Brown,M,2012-04-19,labrown29@titanacademy.edu,BO0211121,6
Allan,Lawrence,Gibson,M,2012-05-22,algibson29@titanacademy.edu,OZ7841492,6
Millie,Jade,Galvan,F,2012-05-06,mjgalvan29@titanacademy.edu,CJ5194639,6
Asa,Lionel,Lara,M,2012-05-22,allara29@titanacademy.edu,YD6819158,6
Alexis,Edwin,Kennedy,M,2011-11-14,aekennedy29@titanacademy.edu,IU0846045,6
Isabel,Vivienne,Andrews,F,2011-10-13,ivandrews29@titanacademy.edu,PA8688091,6
Samir,Agustin,Juarez,M,2011-04-01,sajuarez28@titanacademy.edu,GT6213129,7
Beau,Jaden,Gallagher,M,2010-11-24,bjgallagher28@titanacademy.edu,LZ3489113,7
Harold,Jamison,Contreras,M,2011-04-01,hjcontreras28@titanacademy.edu,JG7219626,7
Asher,Efrain,Park,M,2010-09-24,aepark28@titanacademy.edu,AK6563576,7
Meghan,Bailey,Walls,F,2011-06-08,mbwalls28@titanacademy.edu,WL3474443,7
Marquis,Van,Patel,M,2011-07-26,mvpatel28@titanacademy.edu,CT6495298,7
Isabella,Myah,Wells,F,2011-05-13,imwells28@titanacademy.edu,KJ3811674,7
Ulises,Keith,Watson,M,2010-11-28,ukwatson28@titanacademy.edu,LV6198907,7
Cyrus,Armani,Hays,M,2011-07-02,cahays28@titanacademy.edu,IF4910843,7
Cristopher,Eduardo,Lowery,M,2011-06-19,celowery28@titanacademy.edu,GZ9090720,7
Kayden,Kassandra,Graham,F,2011-04-19,kkgraham28@titanacademy.edu,QT1428704,7
Julie,Tamia,Hill,F,2010-09-20,jthill28@titanacademy.edu,OL5872452,7
Alayna,Nola,Green,F,2011-07-16,angreen28@titanacademy.edu,ZK0578123,7
Lilia,Jamie,Price,F,2011-04-14,ljprice28@titanacademy.edu,FY1513295,7
Cameron,Matias,Berg,M,2011-03-13,cmberg28@titanacademy.edu,JJ6076505,7
Kellan,Terrance,Mccarty,M,2011-02-24,ktmccarty28@titanacademy.edu,LP0663880,7
Max,Johann,Smith,M,2011-06-07,mjsmith28@titanacademy.edu,KS9402344,7
Emily,Camilla,Mcdonald,F,2011-06-12,ecmcdonald28@titanacademy.edu,DE6260131,7
Jeremiah,Keshawn,Robinson,M,2011-03-22,jkrobinson28@titanacademy.edu,OV3303612,7
Rafael,Casey,Grimes,M,2010-09-14,rcgrimes28@titanacademy.edu,OM5557094,7
Nyla,Shyanne,Kirk,F,2011-01-10,nskirk28@titanacademy.edu,FT8306622,7
Lesly,Kelly,Jones,F,2010-09-14,lkjones28@titanacademy.edu,GP8623767,7
Nathalie,Kassandra,Coleman,F,2011-05-16,nkcoleman28@titanacademy.edu,VH8136557,7
Laila,Helena,Ramos,F,2010-08-20,lhramos28@titanacademy.edu,EM6155321,7
Abagail,Kennedi,Walker,F,2011-07-26,akwalker28@titanacademy.edu,NY4974586,7
Legend,Konnor,Carroll,M,2011-05-14,lkcarroll28@titanacademy.edu,PV8717666,7
Waylon,Jonathan,Flynn,M,2010-09-02,wjflynn28@titanacademy.edu,PQ8612415,7
Jasper,Tyrone,Walters,M,2011-01-29,jtwalters28@titanacademy.edu,MU6481415,7
Xavier,Adriel,Patrick,M,2010-12-19,xapatrick28@titanacademy.edu,DC6853899,7
Noelle,Libby,Chapman,F,2010-10-08,nlchapman28@titanacademy.edu,VS5306548,7
Allyson,Carley,Wiley,F,2011-01-27,acwiley28@titanacademy.edu,QU8045592,7
Yadiel,Aldo,Marsh,M,2011-02-17,yamarsh28@titanacademy.edu,IT2852185,7
Keegan,Mateo,Hodges,M,2011-07-23,kmhodges28@titanacademy.edu,BM1076562,7
Raul,Masen,Salazar,M,2010-12-01,rmsalazar28@titanacademy.edu,HR2652621,7
Dax,Darius,Palmer,M,2011-03-15,ddpalmer28@titanacademy.edu,NK7584800,7
Ayla,Alexia,Hawkins,F,2011-07-17,aahawkins28@titanacademy.edu,KF3214368,7
Kamron,Cash,Freeman,M,2011-02-01,kcfreeman28@titanacademy.edu,FN5618805,7
Larry,Jorge,Gregory,M,2011-03-11,ljgregory28@titanacademy.edu,AY1189903,7
Davian,Todd,Sullivan,M,2011-07-18,dtsullivan28@titanacademy.edu,JD1649699,7
Jorge,Francis,Morales,M,2011-03-26,jfmorales28@titanacademy.edu,ML4259404,7
Rachel,Miriam,Hodges,F,2010-09-30,rmhodges28@titanacademy.edu,SE8541702,7
Micaela,Alyvia,Pope,F,2011-02-27,mapope28@titanacademy.edu,VG2391408,7
Dominique,Devon,Warner,M,2010-08-05,ddwarner28@titanacademy.edu,EQ5785289,7
Natalee,Janiyah,Gallagher,F,2011-05-03,njgallagher28@titanacademy.edu,WM5349545,7
Haley,Marissa,Carpenter,F,2011-02-02,hmcarpenter28@titanacademy.edu,CS9411480,7
Milagros,Marilyn,Pugh,F,2010-12-05,mmpugh28@titanacademy.edu,FF3571768,7
Edison,Amari,Wyatt,M,2011-07-28,eawyatt28@titanacademy.edu,PM2480181,7
John,Noah,Fletcher,M,2010-10-27,jnfletcher28@titanacademy.edu,ZM0111053,7
Jaquan,Brandon,Moon,M,2010-12-28,jbmoon28@titanacademy.edu,KG3067316,7
Mekhi,Jason,Perez,M,2011-02-16,mjperez28@titanacademy.edu,XP1456844,7
Abagail,Claire,Fuller,F,2011-04-10,acfuller28@titanacademy.edu,JA0583114,7
Sadie,Teagan,Bennett,F,2010-08-20,stbennett28@titanacademy.edu,WI0950176,7
Avery,Fernanda,Griffin,F,2010-11-29,afgriffin28@titanacademy.edu,JS4253972,7
Sylas,Channing,Roberts,M,2011-01-21,scroberts28@titanacademy.edu,KA0294025,7
Jayvion,River,Jacobs,M,2010-10-02,jrjacobs28@titanacademy.edu,BQ4004442,7
Miah,Marisol,Hines,F,2010-11-21,mmhines28@titanacademy.edu,KV9277020,7
Jayda,Emilee,Gonzalez,F,2010-08-15,jegonzalez28@titanacademy.edu,OQ8037796,7
Soren,Maximo,Oneill,M,2011-07-26,smoneill28@titanacademy.edu,GW3807624,7
Yaritza,Aiyana,Romero,F,2010-12-18,yaromero28@titanacademy.edu,HW8125846,7
Ian,Byron,Lee,M,2011-06-29,iblee28@titanacademy.edu,TK3141501,7
Sage,Cohen,Lyons,M,2010-08-10,sclyons28@titanacademy.edu,DJ6255564,7
Micah,Aydan,Hernandez,M,2011-03-21,mahernandez28@titanacademy.edu,UQ8783075,7
Crew,Ronald,Chambers,M,2010-08-05,crchambers28@titanacademy.edu,AH1080351,7
Eddie,Broderick,Kirby,M,2011-07-17,ebkirby28@titanacademy.edu,GO3179227,7
Erik,Amare,Bryan,M,2010-11-12,eabryan28@titanacademy.edu,IB6527170,7
Mariyah,Corinne,Martinez,F,2011-07-27,mcmartinez28@titanacademy.edu,NF2600575,7
Elle,Aria,Maddox,F,2010-08-25,eamaddox28@titanacademy.edu,JG1498558,7
Carly,Eleanor,Mccormick,F,2010-11-23,cemccormick28@titanacademy.edu,WZ7662449,7
Alec,Archer,Hall,M,2010-11-11,aahall28@titanacademy.edu,LF6679320,7
Payten,Danna,Vega,F,2011-06-13,pdvega28@titanacademy.edu,MO9879466,7
Natasha,Kirsten,Thompson,F,2010-10-13,nkthompson28@titanacademy.edu,XF2903063,7
Bryant,Justin,Anderson,M,2011-04-16,bjanderson28@titanacademy.edu,MS2918160,7
